Car Name,Price
Der ID.3,"Ab 33.330,00 € inkl. MwSt."
Der ID.4,"Ab 40.335,00 € inkl. MwSt."
Der ID.5,"Ab 42.970,00 € inkl. MwSt."
Der ID.7,"Ab 53.995,00 € inkl. MwSt."
Der ID.7 Tourer,"Ab 54.795,00 € inkl. MwSt."
Der Polo,"Ab 19.835,00 € inkl. MwSt."
Der Taigo,"Ab 22.865,00 € inkl. MwSt."
Der T-Cross,"Ab 24.355,00 € inkl. MwSt."
Der ID.3,"Ab 33.330,00 € inkl. MwSt."
Der ID.4,"Ab 40.335,00 € inkl. MwSt."
Der ID.5,"Ab 42.970,00 € inkl. MwSt."
Der ID.7,"Ab 53.995,00 € inkl. MwSt."
Der ID.7 Tourer,"Ab 54.795,00 € inkl. MwSt."
Der neue Golf,"Ab 28.330,00 € inkl. MwSt."
Der neue Golf Variant,"Ab 29.430,00 € inkl. MwSt."
Der T-Roc,"Ab 27.850,00 € inkl. MwSt."
Das T-Roc Cabriolet,"Ab 36.910,00 € inkl. MwSt."
Der Touran,"Ab 40.445,00 € inkl. MwSt."
Der Tiguan,"Ab 38.250,00 € inkl. MwSt."
Der neue Tayron,"Ab 45.475,00 € inkl. MwSt."
Der Passat,"Ab 41.665,00 € inkl. MwSt."
Der Touareg,"Ab 73.765,00 € inkl. MwSt."
Der Caddy,"Ab 32.385,85 € inkl. MwSt."
Der Caddy California,"Ab 36.687,70 € inkl. MwSt."
Der ID. Buzz,"Ab 49.997,85 € inkl. MwSt."
Der Multivan,"Ab 55.025,60 € inkl. MwSt."
Der neue California,"Ab 62.689,20 € inkl. MwSt."
Der Grand California,"Ab 81.943,40 € inkl. MwSt."
GOAL Sondermodelle,Price not found
"Neu-, Jahres- und Gebrauchtwagen ",Price not found
Volkswagen Vorgängermodelle,Price not found
Das Volkswagen AutoAbo,Price not found
Sonderfahrzeuge und behindertengerecht umgebaute Fahrzeuge,Price not found
